               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045452,            0.065377,            0.016455,             0.68236,             0.60109,             0.68154,             0.45037,            0.041392,            0.038497,            0.010739,              0.0937,              0.0007,              0.0007
                   1,             0.04383,            0.061738,            0.017216,             0.74529,             0.65127,             0.73784,             0.48527,            0.040426,            0.037281,           0.0091963,            0.086485,           0.0014851,           0.0014851
                   2,            0.044759,            0.070144,            0.015998,             0.77052,             0.64629,             0.74135,             0.48215,            0.040123,            0.036459,           0.0081568,            0.079254,           0.0022545,           0.0022545
                   3,            0.044043,            0.062052,            0.013608,             0.72571,              0.6806,             0.75897,             0.50482,            0.040085,            0.036224,           0.0073636,            0.072008,           0.0030079,           0.0030079
                   4,             0.04455,            0.060823,            0.013256,             0.72602,              0.7077,             0.77418,             0.51552,             0.03984,            0.035531,            0.006671,            0.064746,           0.0037456,           0.0037456
                   5,             0.04527,            0.056129,            0.013649,             0.77539,             0.71186,             0.79231,             0.49812,            0.041664,             0.03383,           0.0061219,            0.057467,           0.0044673,           0.0044673
                   6,            0.045283,             0.05045,            0.013303,             0.74245,              0.7332,             0.77973,             0.47738,            0.042897,            0.033412,            0.005915,            0.050173,           0.0051733,           0.0051733
                   7,            0.047613,             0.06007,            0.010301,             0.76278,             0.71759,             0.79325,             0.49923,            0.042482,            0.032743,           0.0053772,            0.042863,           0.0058634,           0.0058634
                   8,            0.047475,            0.058353,            0.012389,             0.76939,             0.73095,             0.79812,             0.47732,            0.045618,            0.032808,           0.0051135,            0.035538,           0.0065377,           0.0065377
                   9,            0.046192,            0.054718,            0.010035,             0.77169,             0.74845,             0.80211,             0.50746,              0.0431,            0.032207,           0.0050025,            0.028196,           0.0071961,           0.0071961
                  10,            0.047658,            0.062442,            0.010249,              0.7564,             0.76134,             0.80049,             0.48851,            0.046887,            0.030972,           0.0047861,            0.020839,           0.0078387,           0.0078387
                  11,            0.047451,            0.055437,           0.0099002,             0.79926,             0.75538,             0.80639,             0.50742,            0.043786,            0.030783,           0.0047839,            0.013465,           0.0084655,           0.0084655
                  12,            0.047196,            0.049737,            0.011702,               0.769,              0.7602,             0.80144,             0.50562,            0.045052,            0.029973,           0.0045836,            0.008812,            0.008812,            0.008812
                  13,            0.046906,            0.055573,            0.011105,             0.80097,             0.74821,             0.81206,             0.51294,            0.044169,            0.029781,           0.0046901,            0.008812,            0.008812,            0.008812
                  14,            0.045384,            0.048452,             0.00986,             0.80813,             0.77198,             0.82436,              0.5163,            0.042873,            0.029509,           0.0046021,            0.008713,            0.008713,            0.008713
                  15,            0.043853,            0.051764,           0.0093429,             0.77423,             0.78095,             0.82074,             0.51419,            0.044731,            0.029659,           0.0044448,            0.008614,            0.008614,            0.008614
                  16,            0.047763,             0.04882,           0.0097384,             0.83825,             0.75039,             0.83386,             0.52326,            0.041807,            0.029483,            0.004503,            0.008515,            0.008515,            0.008515
                  17,             0.04372,            0.048647,            0.010007,             0.84569,             0.75268,             0.83538,             0.54415,            0.040668,            0.029591,           0.0043507,            0.008416,            0.008416,            0.008416
                  18,            0.042477,            0.048842,           0.0095758,             0.77838,             0.80922,             0.85694,             0.55357,              0.0412,            0.028632,           0.0041758,            0.008317,            0.008317,            0.008317
                  19,            0.042275,            0.049303,            0.010349,             0.82175,             0.81521,             0.85938,              0.5591,            0.041446,            0.028368,           0.0039992,            0.008218,            0.008218,            0.008218
                  20,            0.043266,            0.047037,           0.0096734,             0.83492,              0.8091,             0.86259,             0.52659,            0.042405,            0.028171,           0.0038579,            0.008119,            0.008119,            0.008119
                  21,            0.044805,            0.045652,           0.0086794,             0.79318,             0.81746,             0.86529,             0.54832,            0.040735,            0.028363,           0.0039269,             0.00802,             0.00802,             0.00802
                  22,            0.043642,            0.049852,           0.0091796,             0.80213,             0.82032,              0.8692,             0.55167,            0.041614,            0.027688,           0.0036925,            0.007921,            0.007921,            0.007921
                  23,            0.042918,              0.0456,           0.0081598,             0.80004,             0.84953,             0.88901,             0.57541,            0.039993,            0.027084,           0.0037788,            0.007822,            0.007822,            0.007822
                  24,            0.039624,            0.048231,           0.0093242,             0.86013,              0.8237,             0.88465,             0.58575,              0.0378,            0.026952,           0.0036545,            0.007723,            0.007723,            0.007723
                  25,            0.041843,            0.040299,            0.008993,             0.88382,             0.79862,             0.89035,             0.57992,            0.038633,            0.027066,           0.0034946,            0.007624,            0.007624,            0.007624
